title,url
"Beginning January 2026, all ACM publications will be made open access",https://dl.acm.org/openaccess
GPT-5.2-Codex,https://openai.com/index/introducing-gpt-5-2-codex/
Agent Skills is now an open standard,https://claude.com/blog/organization-skills-and-directory
Classical statues were not painted horribly,https://worksinprogress.co/issue/were-classical-statues-painted-horribly/
Military Standard on Software Control Levels,https://entropicthoughts.com/mil-std-882e-software-control
Virtualizing Nvidia HGX B200 GPUs with Open Source,https://www.ubicloud.com/blog/virtualizing-nvidia-hgx-b200-gpus-with-open-source
Your job is to deliver code you have proven to work,https://simonwillison.net/2025/Dec/18/code-proven-to-work/
Launch HN: Pulse (YC S24) – Production-grade unstructured document extraction,item?id=46313930
Are Apple gift cards safe to redeem?,https://daringfireball.net/linked/2025/12/17/are-apple-gift-cards-safe-to-redeem
Dogalog: A realtime Prolog-based livecoding music environment,https://github.com/danja/dogalog
"Jonathan Blow has spent the past decade designing 1,400 puzzles",https://arstechnica.com/gaming/2025/12/jonathan-blow-has-spent-the-past-decade-designing-1400-puzzles-for-you/
"Microscopic robots that sense, think, act, and compute",https://www.science.org/doi/10.1126/scirobotics.adu8009
Please Just Try Htmx,http://pleasejusttryhtmx.com/
RCE via ND6 Router Advertisements in FreeBSD,https://www.freebsd.org/security/advisories/FreeBSD-SA-25:12.rtsold.asc
Creating apps like Signal could be 'hostile activity' claims UK watchdog,https://www.techradar.com/vpn/vpn-privacy-security/creating-apps-like-signal-or-whatsapp-could-be-hostile-activity-claims-uk-watchdog
Slowness is a virtue,https://blog.jakobschwichtenberg.com/p/slowness-is-a-virtue
"Apples, Trees, and Quasimodes",https://systemstack.dev/2025/09/humane-computing/
Hightouch (YC S19) Is Hiring,https://hightouch.com/careers
Firefox will have an option to disable all AI features,https://mastodon.social/@firefoxwebdevs/115740500373677782
I got hacked: My Hetzner server started mining Monero,https://blog.jakesaunders.dev/my-server-started-mining-monero-this-morning/
